run,estimator,bias,variance,mse,fstat,num_instruments,strength
1,OLS,4.924469132705463,0.0281310185072871,24.27852725747619,10000.0,142,0.1
1,2SLS,1.1157792329497649,0.1174240205021925,1.3623873171841574,8.219050259905654,142,0.1
1,UJIVE1,-0.1515250122789319,0.2585912365229955,0.2815510658691259,38.43387393800897,142,0.1
1,UJIVE2,-0.1484037242037847,0.2607407923607167,0.2827644577182697,38.601793021503376,142,0.1
1,JIVE1,-0.3386669981862729,0.206878268645606,0.3215736043061071,10000.0,142,0.1
1,JIVE2,-0.1360330248474766,0.2932635456360187,0.3117685294851728,39.696526683346626,142,0.1
1,HFUL,-0.0941938680718335,0.2189394335884857,0.2278119183708196,10000.0,142,0.1
1,SJIVE,-0.1024128116743965,0.212370735464549,0.2228591194596045,10000.0,142,0.1
2,OLS,4.988198443155786,0.0620517056324513,24.944175413934268,10000.0,142,0.1
2,2SLS,1.0997863898426747,0.1718499229657894,1.3813800262489733,7.710849521027663,142,0.1
2,UJIVE1,-0.235281837375151,0.2770095833916773,0.3323671263903044,33.659854568314636,142,0.1
2,UJIVE2,-0.2334207515043172,0.2753667956593228,0.3298520428921632,33.70572459379149,142,0.1
2,JIVE1,-0.3930219515170672,0.1659984411953304,0.3204646955696144,10000.0,142,0.1
2,JIVE2,-0.2443338772751311,0.280254859581569,0.339953903165868,33.39045079675068,142,0.1
2,HFUL,-0.2290354524980329,0.2983504769389662,0.350807715439945,10000.0,142,0.1
2,SJIVE,-0.242619809560695,0.3082243856603684,0.3670887576516363,10000.0,142,0.1
3,OLS,5.096612471046116,0.1376837240674266,26.113142404090222,10000.0,142,0.1
3,2SLS,1.3845183733094582,0.0726359904002961,1.989527116431764,7.965065237054179,142,0.1
3,UJIVE1,0.137081750729718,0.0974375850202022,0.1162289914033268,47.14559333540582,142,0.1
3,UJIVE2,0.1429950152382504,0.09541705436224,0.1158646287452275,47.39096785595428,142,0.1
3,JIVE1,-0.1118970923018261,0.0703052165025139,0.0828261757681173,10000.0,142,0.1
3,JIVE2,0.1411792894736894,0.0985161261529742,0.11844771792927,47.38450846273528,142,0.1
3,HFUL,0.1957366119400043,0.0680343941627137,0.1063472154164656,10000.0,142,0.1
3,SJIVE,0.1620466162406995,0.0681676656966859,0.0944267715317464,10000.0,142,0.1
4,OLS,5.115257722703052,0.0921558974133381,26.258017467086542,10000.0,142,0.1
4,2SLS,1.3300723968691952,0.2097750117195913,1.9788675926329575,7.753522050200198,142,0.1
4,UJIVE1,0.0256614003477324,0.4173629851589672,0.4180214926267738,47.68891229445747,142,0.1
4,UJIVE2,0.0211253471057302,0.4191606691850643,0.4196069494754019,47.50116648542635,142,0.1
4,JIVE1,-0.2055616372893645,0.3167987677672093,0.3590543544922935,10000.0,142,0.1
4,JIVE2,0.0149636038880816,0.4505298106240321,0.4507537200653515,47.755163380825934,142,0.1
4,HFUL,-0.0136244030031969,0.3452575722043989,0.3454431965615924,10000.0,142,0.1
4,SJIVE,-0.0404541026771887,0.3699264049587607,0.3715629393821772,10000.0,142,0.1
5,OLS,5.150588506029024,0.1932051281860068,26.7217670866243,10000.0,142,0.1
5,2SLS,1.4044744410389562,0.1835899289303674,2.1561383844620563,7.846749272626593,142,0.1
5,UJIVE1,0.1261969236323808,0.2037527872893282,0.2196784508236053,48.09508194763203,142,0.1
5,UJIVE2,0.1302390729654908,0.2068011873925422,0.2237634035194526,48.3352318911996,142,0.1
5,JIVE1,-0.1191007933702349,0.1469413293794357,0.1611263283608551,10000.0,142,0.1
5,JIVE2,0.1194657484367869,0.2074420889082003,0.221714153957762,47.86946859279347,142,0.1
5,HFUL,0.1636805058957688,0.203168201305987,0.2299595093162818,10000.0,142,0.1
5,SJIVE,0.1616821214811825,0.1953330092407534,0.2214741176474092,10000.0,142,0.1
6,OLS,4.9738663160283325,0.0730113128500913,24.81235744257134,10000.0,142,0.1
6,2SLS,1.1955000448400606,0.1154683787691762,1.5446887359817632,8.009710124753827,142,0.1
6,UJIVE1,-0.0819324487761537,0.2232597669680776,0.2299726931305346,40.93412411977065,142,0.1
6,UJIVE2,-0.081973284175155,0.2259638899996519,0.2326835093181127,40.99221587275071,142,0.1
6,JIVE1,-0.2786253669203897,0.168959930213933,0.2465920253054549,10000.0,142,0.1
6,JIVE2,-0.080915073080195,0.2408645461277218,0.2474117951792951,41.27458486624639,142,0.1
6,HFUL,-0.0390182436028321,0.1507301423893511,0.152252565723201,10000.0,142,0.1
6,SJIVE,-0.0400978684718724,0.1413616316859466,0.1429694707419342,10000.0,142,0.1
7,OLS,4.991802751010232,0.0579945705176327,24.97608927551095,10000.0,142,0.1
7,2SLS,1.119084207157115,0.0751782394031594,1.3275277021116283,7.767987530120864,142,0.1
7,UJIVE1,-0.2138951073224625,0.1585217108281914,0.2042728277646792,34.38723874540958,142,0.1
7,UJIVE2,-0.215310165643575,0.156586352175103,0.2029448196045667,34.305709696261665,142,0.1
